,ref,lea name,url
0,SB978-703,Baldwin Park Police Department,https://web.archive.org/web/20230719150234/https://www.baldwinparkpolice.com/Search?searchPhrase=manual
1,SB978-704,Bell Police Department,https://web.archive.org/web/20130825153531/http://cityofbell.org/?navid=1
2,SB978-705,Bishop Police Department,https://web.archive.org/web/20150721005207/http://www.cityofbishop.com/departments/police/
3,SB978-706,Burbank-Glendale-Pasadena Airport Authority Police Department,https://web.archive.org/web/20200509135050/https://hollywoodburbankairport.com/airport-authority/bgpaa-police/
4,SB978-710,Carmel Police Department,https://web.archive.org/web/20010608065944/http://www.ci.carmel.ca.us/
5,SB978-711,Cerritos Community College District Police Department,https://web.archive.org/web/20180319152651/http://www.cerritos.edu/police/default.htm
6,SB978-714,Coast Community College District Police Department,https://web.archive.org/web/20200918234132/https://www.goldenwestcollege.edu/public-safety/index.html
7,SB978-715,Compton Community College Police Department,https://web.archive.org/web/20230513210125/https://www.compton.edu/campus-safety/index.aspx
8,SB978-718,Corning Police Department,https://web.archive.org/web/20210622003243/https://www.corning.org/departments/police-department/
9,SB978-719,Crescent City Police Department,https://web.archive.org/web/20210422101349/https://www.crescentcity.org/departments/Police
10,SB978-720,CSU Maritime Academy Police Department,https://web.archive.org/web/20201123225923/https://www.csum.edu/police-department/
11,SB978-721,CSU San Francisco Police Department,https://web.archive.org/web/20151120121405/http://upd.sfsu.edu/
12,SB978-722,CSU Stanislaus University Police Department,https://web.archive.org/web/20090522150018/http://www.csustan.edu/UPD/
13,SB978-723,El Rancho Unified School District Police Department,https://web.archive.org/web/20211228233652/https://www.erusd.org/apps/pages/index.jsp?uREC_ID=155468&type=d&pREC_ID=2200244
14,SB978-725,Fontana Unified School District Police Department,https://web.archive.org/web/20200215153359/https://www.fusd.net/domain/245
15,SB978-726,Foothill De-Anza Community College District Police Department,https://web.archive.org/web/20201215175046/http://police.fhda.edu/
16,SB978-727,Fulton-El Camino Park Police Department,https://web.archive.org/web/20201001132620/https://www.fecrpd.com/park-police
17,SB978-728,Glendale Police Department Park Rangers,https://web.archive.org/web/20220320194524/https://www.glendaleca.gov/government/departments/community-services-parks/csp-policies-procedures
18,SB978-731,Imperial County Sheriff's Department,https://web.archive.org/web/20201016200854/https://icso.imperialcounty.org/
19,SB978-734,Lake Shastina District Police Department,https://web.archive.org/web/20100418221559/http://www.lakeshastina.com/lscsdinfo.htm
