,ref,lea name,site url,policy url,me policy url,mei url (if separate)
0,SB978-703,Baldwin Park Police Department,https://web.archive.org/web/20230719150234/https://www.baldwinparkpolice.com/Search?searchPhrase=manual,https://web.archive.org/web/20210420203617/https://www.baldwinparkpolice.com/DocumentCenter/View/96/Baldwin-Park-Police-Department-Policy-Manual-PDF,,
1,SB978-704,Bell Police Department,https://web.archive.org/web/20130825153531/http://cityofbell.org/?navid=1,https://web.archive.org/web/20230719150156/https://www.cityofbell.org/home/showdocument?id=13315,--No link for this in original dataset--,--No link for this in original dataset--
2,SB978-705,Bishop Police Department,https://web.archive.org/web/20150721005207/http://www.cityofbishop.com/departments/police/,,,--No link for this in original dataset--
3,SB978-706,Burbank-Glendale-Pasadena Airport Authority Police Department,https://web.archive.org/web/20200509135050/https://hollywoodburbankairport.com/airport-authority/bgpaa-police/,,--No link for this in original dataset--,--No link for this in original dataset--
4,SB978-710,Carmel Police Department,https://web.archive.org/web/20010608065944/http://www.ci.carmel.ca.us/,https://web.archive.org/web/20211026174554/https://ci.carmel.ca.us/sites/main/files/file-attachments/carmel_by_the_sea_pd_policy_manual.pdf?1621872907,--No link for this in original dataset--,--No link for this in original dataset--
5,SB978-711,Cerritos Community College District Police Department,https://web.archive.org/web/20180319152651/http://www.cerritos.edu/police/default.htm,https://web.archive.org/web/20221203192654/https://www.cerritos.edu/police/_includes/docs/RELEASE_20220222_T115017_Cerritos_College_PD_Policy_Manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
6,SB978-714,Coast Community College District Police Department,https://web.archive.org/web/20200918234132/https://www.goldenwestcollege.edu/public-safety/index.html,https://web.archive.org/web/20201202163950/https://www.goldenwestcollege.edu/Links/pdf/RELEASE_20190924_T141046_Coast_Community_College_Police_Department_Protocol_Manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
7,SB978-715,Compton Community College Police Department,https://web.archive.org/web/20230513210125/https://www.compton.edu/campus-safety/index.aspx,https://web.archive.org/web/20220526045259/https://www.compton.edu/adminandoperations/campuspolice/Documents/CCPD_Policy-Manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
8,SB978-718,Corning Police Department,https://web.archive.org/web/20210622003243/https://www.corning.org/departments/police-department/,https://web.archive.org/web/20211024122411/https://www.corning.org/documents/policy-manual/,https://web.archive.org/web/20220627075133/https://www.corning.org/documents/military-equipment-policy/,--No link for this in original dataset--
9,SB978-719,Crescent City Police Department,https://web.archive.org/web/20210422101349/https://www.crescentcity.org/departments/Police,https://web.archive.org/web/20220927111354/https://www.crescentcity.org/media/Police/RELEASE_20220811_T170935_Crescent_City__Police_Department_Manual.pdf,https://web.archive.org/web/20220927111354/https://www.crescentcity.org/media/Police/RELEASE_20220811_T170935_Crescent_City__Police_Department_Manual.pdf,--No link for this in original dataset--
